assoc_id,old_person_id,new_person_id
0,0,0
1,1,1
2,2,2
3,3,3
4,4,4
5,5,4
6,6,4
7,7,5
8,8,6
9,9,6
10,10,7
11,11,7
12,12,7
13,13,8
14,14,8
15,15,8
16,16,8
17,17,8
18,18,8
19,19,9
20,20,9
21,21,9
22,22,9
23,23,9
24,24,9
25,25,9
26,26,9
27,27,9
28,28,9
29,29,9
30,30,9
31,31,9
32,32,9
33,33,9
34,34,9
35,35,10
36,36,11
37,37,11
38,38,11
39,39,11
40,40,12
41,41,12
42,42,13
43,43,14
44,44,15
45,45,15
46,46,15
47,47,16
48,48,17
49,49,18
50,50,18
51,51,19
52,52,20
53,53,20
54,54,20
55,55,21
56,56,22
57,57,23
58,58,24
59,59,25
60,60,25
61,61,25
62,62,25
63,63,25
64,64,25
65,65,25
66,66,25
67,67,26
68,68,26
69,69,26
70,70,26
71,71,27
72,72,27
73,73,27
74,74,27
75,75,28
76,76,29
77,77,29
78,78,29
79,79,30
80,80,31
81,81,32
82,82,33
83,83,33
84,84,33
85,85,33
86,86,34
87,87,35
88,88,36
89,89,37
90,90,38
91,91,39
92,92,39
93,93,39
94,94,39
95,95,40
96,96,41
97,97,41
98,98,41
99,99,42
100,100,42
101,101,43
102,102,44
103,103,45
104,104,45
105,105,45
106,106,45
107,107,46
108,108,47
109,109,47
110,110,47
111,111,47
112,112,47
113,113,47
114,114,47
115,115,47
116,116,47
117,117,47
118,118,47
119,119,47
120,120,47
121,121,47
122,122,47
123,123,47
124,124,47
125,125,47
126,126,47
127,127,47
128,128,47
129,129,47
130,130,47
131,131,47
132,132,47
133,133,47
134,134,47
135,135,47
136,136,47
137,137,47
138,138,47
139,139,47
140,140,47
141,141,47
142,142,47
143,143,47
144,144,47
145,145,47
146,146,47
147,147,47
148,148,47
149,149,47
150,150,47
151,151,47
152,152,47
153,153,47
154,154,47
155,155,47
156,156,47
157,157,47
158,158,47
159,159,47
160,160,47
161,161,47
162,162,47
163,163,47
164,164,47
165,165,47
166,166,47
167,167,47
168,168,47
169,169,47
170,170,47
171,171,47
172,172,47
173,173,47
174,174,47
175,175,47
176,176,47
177,177,47
178,178,47
179,179,47
180,180,47
181,181,47
182,182,47
183,183,47
184,184,47
185,185,47
186,186,47
187,187,47
188,188,47
189,189,47
190,190,47
191,191,47
192,192,47
193,193,47
194,194,47
195,195,47
196,196,47
197,197,47
198,198,47
199,199,47
200,200,47
201,201,47
202,202,47
203,203,47
204,204,47
205,205,47
206,206,47
207,207,47
208,208,47
209,209,47
210,210,47
211,211,47
212,212,47
213,213,47
214,214,47
215,215,47
216,216,47
217,217,47
218,218,47
219,219,47
220,220,47
221,221,47
222,222,47
223,223,47
224,224,47
225,225,47
226,226,47
227,227,47
228,228,47
229,229,47
230,230,47
231,231,47
232,232,47
233,233,47
234,234,47
235,235,47
236,236,47
237,237,47
238,238,47
239,239,47
240,240,47
241,241,47
242,242,47
243,243,47
244,244,47
245,245,47
246,246,47
247,247,47
248,248,47
249,249,47
250,250,47
251,251,47
252,252,47
253,253,47
254,254,47
255,255,47
256,256,47
257,257,47
258,258,47
259,259,47
260,260,47
261,261,47
262,262,47
263,263,47
264,264,47
265,265,47
266,266,47
267,267,47
268,268,47
269,269,47
270,270,47
271,271,47
272,272,47
273,273,47
274,274,47
275,275,47
276,276,47
277,277,47
278,278,47
279,279,47
280,280,47
281,281,47
282,282,47
283,283,47
284,284,47
285,285,47
286,286,47
287,287,47
288,288,47
289,289,47
290,290,47
291,291,47
292,292,47
293,293,47
294,294,47
295,295,47
296,296,47
297,297,47
298,298,47
299,299,47
300,300,47
301,301,47
302,302,47
303,303,47
304,304,47
305,305,47
306,306,47
307,307,47
308,308,47
309,309,47
310,310,47
311,311,47
312,312,47
313,313,47
314,314,47
315,315,47
316,316,47
317,317,47
318,318,47
319,319,47
320,320,47
321,321,47
322,322,47
323,323,47
324,324,47
325,325,47
326,326,47
327,327,47
328,328,47
329,329,47
330,330,47
331,331,47
332,332,47
333,333,47
334,334,47
335,335,47
336,336,47
337,337,47
338,338,47
339,339,47
340,340,47
341,341,47
342,342,47
343,343,47
344,344,47
345,345,47
346,346,47
347,347,47
348,348,47
349,349,47
350,350,47
351,351,47
352,352,47
353,353,47
354,354,47
355,355,47
356,356,47
357,357,47
358,358,47
359,359,47
360,360,47
361,361,47
362,362,47
363,363,47
364,364,47
365,365,47
366,366,47
367,367,47
368,368,47
369,369,47
370,370,47
371,371,47
372,372,47
373,373,47
374,374,47
375,375,47
376,376,47
377,377,47
378,378,47
379,379,47
380,380,47
381,381,47
382,382,47
383,383,47
384,384,47
385,385,47
386,386,47
387,387,47
388,388,47
389,389,47
390,390,47
391,391,47
392,392,47
393,393,47
394,394,47
395,395,47
396,396,47
397,397,47
398,398,47
399,399,47
400,400,47
401,401,47
402,402,47
403,403,47
404,404,47
405,405,47
406,406,47
407,407,47
408,408,47
409,409,47
410,410,47
411,411,47
412,412,47
413,413,47
414,414,47
415,415,47
416,416,47
417,417,47
418,418,47
419,419,47
420,420,47
421,421,47
422,422,47
423,423,47
424,424,47
425,425,47
426,426,47
427,427,47
428,428,47
429,429,47
430,430,47
431,431,47
432,432,47
433,433,47
434,434,47
435,435,47
436,436,47
437,437,47
438,438,47
439,439,47
440,440,47
441,441,47
442,442,47
443,443,47
444,444,47
445,445,47
446,446,47
447,447,47
448,448,47
449,449,47
450,450,47
451,451,47
452,452,47
453,453,47
454,454,47
455,455,47
456,456,47
457,457,47
458,458,47
459,459,47
460,460,47
461,461,47
462,462,47
463,463,47
464,464,47
465,465,47
466,466,47
467,467,47
468,468,47
469,469,47
470,470,47
471,471,47
472,472,47
473,473,47
474,474,47
475,475,47
476,476,47
477,477,47
478,478,47
479,479,47
480,480,47
481,481,47
482,482,47
483,483,47
484,484,47
485,485,47
486,486,47
487,487,47
488,488,47
489,489,47
490,490,47
491,491,47
492,492,47
493,493,47
494,494,47
495,495,47
496,496,47
497,497,47
498,498,47
499,499,47
500,500,47
501,501,47
502,502,47
503,503,47
504,504,47
505,505,47
506,506,47
507,507,47
508,508,47
509,509,47
510,510,47
511,511,47
512,512,47
513,513,47
514,514,47
515,515,47
516,516,47
517,517,47
518,518,47
519,519,47
520,520,47
521,521,47
522,522,47
523,523,47
524,524,47
525,525,47
526,526,47
527,527,47
528,528,47
529,529,47
530,530,47
531,531,47
532,532,47
533,533,47
534,534,47
535,535,47
536,536,47
537,537,47
538,538,47
539,539,47
540,540,47
541,541,47
542,542,47
543,543,47
544,544,47
545,545,47
546,546,47
547,547,47
548,548,47
549,549,47
550,550,47
551,551,47
552,552,47
553,553,47
554,554,47
555,555,47
556,556,47
557,557,47
558,558,47
559,559,47
560,560,47
561,561,47
562,562,47
563,563,47
564,564,47
565,565,47
566,566,47
567,567,47
568,568,47
569,569,47
570,570,47
571,571,47
572,572,47
573,573,47
574,574,47
575,575,47
576,576,47
577,577,47
578,578,47
579,579,47
580,580,47
581,581,47
582,582,47
583,583,47
584,584,47
585,585,47
586,586,47
587,587,47
588,588,47
589,589,47
590,590,47
591,591,47
592,592,47
593,593,47
594,594,47
595,595,47
596,596,47
597,597,47
598,598,47
599,599,47
600,600,47
601,601,47
602,602,47
603,603,47
604,604,47
605,605,47
606,606,47
607,607,47
608,608,47
609,609,47
610,610,47
611,611,47
612,612,47
613,613,47
614,614,47
615,615,47
616,616,47
617,617,47
618,618,47
619,619,47
620,620,47
621,621,47
622,622,47
623,623,47
624,624,47
625,625,47
626,626,47
627,627,47
628,628,47
629,629,47
630,630,47
631,631,47
